Tavon Austin,WR,STL,9.3
San Francisco Defense,DEF,SF,8
DeAngelo Williams,RB,CAR,11.3
Philip Rivers,QB,SD,10.3
Christine Michael,RB,SEA,10.5
Mike Evans,WR,TB,9.9
Devonta Freeman,RB,ATL,11
DeAndre Hopkins,WR,HOU,8.9
Danny Amendola,WR,NE,10.9
Zach Ertz,TE,PHI,14.5
Carolina Defense,DEF,CAR,9.9
Russell Wilson,QB,SEA,10.4
Carlos Hyde,RB,SF,11.4
Anquan Boldin,WR,SF,12.6
Cecil Shorts,WR,JAC,10
Kenny Stills,WR,NO,10.1
David Wilson,RB,NYG,10.7
Eric Ebron,TE,DET,15.9
Denver Defense,DEF,DEN,9.9
Kelvin Benjamin,WR,CAR,9.8
St. Louis Defense,DEF,STL,9.2
Ben Roethlisberger,QB,PIT,10.8
Marvin Jones,WR,CIN,8.5
Ladarius Green,TE,SD,14.7
Andy Dalton,QB,CIN,10.5
New England Defense,DEF,NE,13
Jarrett Boykin,WR,GB,9.7
LeGarrette Blount,RB,PIT,14
Jordan Matthews,WR,PHI,9.8
Johnny Manziel,QB,CLE,28.5
Martellus Bennett,TE,CHI,17.4
Tre Mason,RB,STL,13.1
Steve Smith,WR,BAL,10.3
Chris Ivory,RB,NYJ,14.1
Aaron Dobson,WR,NE,10.8
Arizona Defense,DEF,ARI,10.9
Justin Hunter,WR,TEN,11.4
James Jones,WR,OAK,10.5
Cincinnati Defense,DEF,CIN,11
Eli Manning,QB,NYG,12.1
Ahmad Bradshaw,RB,IND,18
Charles Clay,TE,MIA,18.1
Matt Prater,PK,DEN,15.2
Josh Gordon,WR,CLE,33.6
Knile Davis,RB,KC,14.4
Stephen Gostkowski,PK,NE,15.1
Greg Jennings,WR,MIN,13.6
Markus Wheaton,WR,PIT,12.7
Josh McCown,QB,TB,13.7
Andre Brown,RB,HOU,16.3
Houston Defense,DEF,HOU,12.8
Kansas City Defense,DEF,KC,14.6
Carson Palmer,QB,ARI,12.5
Jonathan Stewart,RB,CAR,14.7
Antonio Gates,TE,SD,21.6
Mark Ingram,RB,NO,17.8
Lance Dunbar,RB,DAL,15.9
Steven Hauschka,PK,SEA,10.7
Heath Miller,TE,PIT,18.7
Odell Beckham Jr,WR,NYG,11.8
Justin Tucker,PK,BAL,11.8
Miles Austin,WR,CLE,15.4
Ryan Tannehill,QB,MIA,12.6
