,Name,Pos,Team,ADP,Stdev
213,James White,RB,NE,182.1,18.9
214,Travaris Cadet,RB,NO,182.3,57.9
215,Nate Burleson,WR,CLE,182.4,13
216,Dwayne Allen,TE,IND,182.4,19.1
217,Dexter McCluster,RB,TEN,182.6,21.1
218,Sam Bradford,QB,STL,182.9,18.6
219,Phil Dawson,PK,SF,182.9,10.7
220,Mike Nugent,PK,CIN,183,46.6
221,NY Giants Defense,DEF,NYG,183,16.5
222,Alex Smith,QB,KC,183.1,16.4
223,Jerick McKinnon,RB,MIN,183.1,21.1
224,Steve Johnson,WR,SF,183.2,16.6
225,KaDeem Carey,RB,CHI,183.2,20.5
226,Doug Baldwin,WR,SEA,183.2,18
227,Stepfan Taylor,RB,ARI,183.5,19.9
228,Marqise Lee,WR,JAC,183.7,22
229,Malcom Floyd,WR,SD,183.8,17.5
230,Delanie Walker,TE,TEN,183.8,19
231,Shonn Greene,RB,TEN,184.1,18.2
232,Harry Douglas,WR,ATL,184.2,15.8
233,Joe Flacco,QB,BAL,184.3,18.4
234,Marcus Lattimore,RB,SF,184.4,15.6
235,Deion Branch,WR,NE,184.6,13.4
236,Jonathan Dwyer,RB,ARI,184.9,22.3
237,Jordan Todman,RB,JAC,185.1,15.9
238,Chris Polk,RB,PHI,185.1,13.7
239,BenJarvus Green-Ellis,RB,CIN,185.1,14.2
240,Robert Turbin,RB,SEA,185.2,19.4
241,Steve Breaston,WR,KC,185.7,10.9
242,Austin Seferian-Jenkins,TE,TB,185.8,18
243,Brent Celek,TE,PHI,185.9,20.2
244,Matt Cassel,QB,MIN,186.2,13.4
245,Dallas Clark,TE,TB,186.4,19.2
246,Brian Hartline,WR,MIA,186.5,16.3
247,Kevin Boss,TE,KC,186.6,17.9
248,Cody Latimer,WR,DEN,186.7,20.7
249,Lance Moore,WR,PIT,187,19.4
250,Latavius Murray,RB,OAK,187.1,13.6
251,Levine Toilolo,TE,ATL,187.3,22.4
252,Mike Tolbert,RB,CAR,187.4,17.3
253,Matt Schaub,QB,OAK,187.4,13.3
254,Ryan Fitzpatrick,QB,HOU,187.4,12.8
255,Blair Walsh,PK,MIN,187.4,10.7
256,Travis Kelce,TE,KC,187.5,19.9
257,Brian Hoyer,QB,CLE,187.8,18.2
258,Owen Daniels,TE,BAL,187.9,21.3
259,EJ Manuel,QB,BUF,188,14
260,Philadelphia Defense,DEF,PHI,188.2,18.4
261,NY Jets Defense,DEF,NYJ,188.2,19
262,Justin Blackmon,WR,JAC,188.3,22
263,Michael Robinson,RB,SEA,188.3,17.3
264,Pittsburgh Defense,DEF,PIT,188.5,15.5
265,Michael Vick,QB,NYJ,188.6,14.3
266,Alex Henery,PK,PHI,188.8,27
267,Brandon Lloyd,WR,SF,188.9,16.6
268,Jared Cook,TE,STL,189,18.3
269,Scott Chandler,TE,BUF,189,14.8
270,Adam Vinatieri,PK,IND,189.4,15.1
271,Nate Washington,WR,TEN,189.6,12.5
272,Matt Bryant,PK,ATL,189.6,8.1
273,Sidney Rice,WR,SEA,189.7,17
274,Greg Zuerlein,PK,STL,189.9,11.2
275,Jermaine Kearse,WR,SEA,189.9,15.3
276,Detroit Defense,DEF,DET,190.2,20.9
277,Mario Manningham,WR,NYG,190.3,18.8
278,DeAnthony Thomas,RB,KC,190.5,20.6
279,Buffalo Defense,DEF,BUF,190.5,12
280,Teddy Bridgewater,QB,MIN,190.6,20
281,Anthony Fasano,TE,KC,190.8,14.9
282,Marcedes Lewis,TE,JAC,191,18.4
283,Robert Meachem,WR,NO,191.3,12.7
284,Minnesota Defense,DEF,MIN,191.4,15.9
285,Terrance Copper,WR,KC,191.5,11.1
286,Jacoby Jones,WR,BAL,191.5,15.6
287,John Kuhn,RB,GB,191.6,16.9
288,Eddie Royal,WR,SD,191.8,18.2
289,Dallas Defense,DEF,DAL,191.9,21.6
290,Green Bay Defense,DEF,GB,192.1,13.9
291,Baltimore Defense,DEF,BAL,192.2,15.4
292,Geno Smith,QB,NYJ,192.5,13.2
293,Ted Ginn Jr,WR,ARI,193,14.7
294,Ronnie Brown,RB,SD,193.5,9.1
295,Isaiah Crowell,RB,CLE,194.3,17
296,Indianapolis Defense,DEF,IND,194.4,10.8
297,Michael Bush,RB,FA,194.4,11.1
298,Richard Rodgers,TE,GB,195.3,14.5
299,Robbie Gould,PK,CHI,195.6,11.1
300,Santana Moss,WR,WAS,195.6,11
301,Leon Washington,RB,TEN,195.7,7.4
302,Miami Defense,DEF,MIA,196.1,10.2
303,DeDe Dorsey,RB,DET,196.3,11.7
304,Rob Bironas,PK,TEN,196.6,14.9
305,Sebastian Janikowski,PK,OAK,197.5,13.9
306,Josh Brown,PK,NYG,198.5,6.2
307,Nick Folk,PK,NYJ,198.9,10.6
308,Shayne Graham,PK,NO,199.3,10.6
309,Nick Novak,PK,SD,200.2,7
310,Ryan Succop,PK,KC,200.3,10.2
311,Billy Cundiff,PK,CLE,201.2,5.1
312,Jay Feely,PK,ARI,201.6,6
313,Dan Carpenter,PK,BUF,204.8,3.8
