"","name","pos","team","overallRank","positionRank","vor","projectedPts","upside","risk","projectedCost","adp","ADPdiff","passYds","passTds","passInt","rushYds","rushTds","rec","recYds","recTds","twoPts","fumbles","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_yahoo"
"29","Reggie Bush","RB","DET",29,16,51.6038237733689,171.553683482311,189.752591592697,5.18922892809254,109,51,22,0,0,0,857.250059944555,4.99998076542714,50.5000234474291,463.999961787875,2.500037547989,0,2.78571428571429,186.6,167.5,184,NA,171.95,195.3,144.6,170.9,188,167.1,194,180.3,195.4,138.8
"30","Ryan Mathews","RB","SD",30,17,50.9903236632644,170.940183372207,184.71914355031,4.14959884133087,157,37.8,7.8,0,0,0,1100.00008894924,6.49999330130204,25.6999341566653,195.4,1.00004820893553,0.2,2.00003729207133,183.8,179.8,166.1,NA,174.3,166,160,163.4,174.5,170.7,184.5,209.7,183.5,158.5
"31","Randall Cobb","WR","GB",31,10,48.4154072737475,166.915043932878,178.987875592672,3.35038800992791,200,31.4,0.399999999999999,0,0,0,82.1548644801109,0,84.4256126502291,1127,7.99993691422248,0,1.00003200023396,171.2,158.3,183.6,177.6,173.86,167.6,163.1,172.3,163.5,171.7,187.5,142.2,180.8,155.57
"32","Toby Gerhart","RB","JAC",32,18,47.805525794206,167.755385503148,189.37291756182,5.97947079479634,68,75.7,43.7,0,0,0,999.05,6.50000302988072,36.0000581907081,268.5,1.00006950352177,0,2.00002484863329,188.9,168.2,141.2,NA,179.05,204.6,218.4,154.4,172,146.7,178.5,172,160.4,172.4
"33","Vincent Jackson","WR","TB",33,11,47.6998913418274,166.199528000958,174.300049035166,3.3798779724239,173,34.1,1.1,0,0,0,8.00004981641552,0,73.9499770617962,1200,7.49992050321941,0.2,0,169.5,161.8,172.7,NA,166.47,177.9,160.9,165,160,166.9,168,167.6,172.3,144.5
"34","C.J. Spiller","RB","BUF",34,19,47.1259674717676,167.07582718071,180.036962379489,4.82410724721715,141,42.6,8.6,0,0,0,998,5.49995310108721,38.9999889379938,300,1.50007469130707,0,2.36216978682785,192.9,160.3,167.7,NA,170.1,184.6,153,156.4,181,165.5,182,189.6,173.8,161
"35","Bishop Sankey","RB","TEN",35,20,46.4552539144671,166.405113623409,187.243646902668,5.68937332000176,75,74.7,39.7,0,0,0,984.05,6.5,34.1999871343786,264,1.10004638489107,0,2.00008234296849,197.6,177.7,149.7,NA,184.61,194.1,210.4,146,140,160.3,165,170.4,168.2,173
"36","Andre Johnson","WR","HOU",36,12,42.8505494868807,161.350186146011,175.61656297029,4.32334355616338,131,38.3,2.3,0,0,0,0,0,95.0000319936825,1249.5,6.00003102433522,0.2,0,164.4,162.9,178.7,NA,162.91,185.5,144.9,153.4,151,146,168.5,140.8,180.5,156.1
"37","Rashad Jennings","RB","NYG",37,21,41.9798910468908,161.929750755833,175.636935845301,5.48598689403493,75,66.9,29.9,0,0,0,886,6.99996784730371,38.9999327003973,293.299992990404,1.00000696426415,0,2.00004870630721,166.3,147.3,159.8,NA,163.7,190.7,188.3,166.3,165,148.6,145.5,168.2,170.9,168.6
"38","Julius Thomas","TE","DEN",38,2,41.8498420099379,150.350011409309,167.241627640478,5.11867618225783,179,32,-6,0,0,0,0,0,73.5000428320538,889.500047165351,10.4999798128387,0,0.7999360921292,157.1,160.3,164.3,164.3,159.18,171.5,155.5,144,155,143.4,139,103.5,146.8,137
